title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
2 Guns,Action-Comedy-Crime,en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,35.266,Universal Pictures-Marc Platt Productions-EFO Films-Envision Entertainment-TriStar Pictures-Stage 6 Films-Foresight Unlimited-Oasis Entertainment-Herrick Entertainment-BOOM! Studios-Empyre Media Capital,2013-08-02,17.926384422137584,109.0,Released,"2 Guns, 1 Bank.",6.5,3665.0,undercover-undercover agent-based on comic-money-fugitive-bank robbery-dea agent,0.0,United States of America,"Spanish, English",8.9252,8.2594,2.5873,R,18.697860946806443
Percy Jackson: Sea of Monsters,Adventure-Family-Fantasy,en,In their quest to confront the ultimate evil Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.,30.708,Fox 2000 Pictures-Sunswept Entertainment-1492 Pictures-TSG Entertainment,2013-08-07,18.31532022829454,106.0,Released,"Where There Are Gods, There Are Monsters.",6.0,4697.0,poison-sea-based on novel or book-monster-hermes-tale-poseidon-fantasy world-demigod-golden fleece-olympus-quest-kronos-based on young adult novel,0.0,United States of America,English,3.2692,1.3183,10.8628,PG,19.113079219302502
Elysium,Science Fiction-Action-Drama-Thriller,en,In the year 2159 two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium and the rest who live on an overpopulated ruined Earth. Secretary Rhodes a hard line government ofﬁcial will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in by any means they can. When unlucky Max is backed into a corner he agrees to take on a daunting mission that if successful will not only save his life but could bring equality to these polarized worlds.,32.843,Genre Films-TriStar Pictures-MRC-QED International-Alpha Core-Simon Kinberg Productions-Sony Pictures,2013-08-07,18.560442686327523,109.0,Released,He can save us all.,6.4910000000000005,7924.0,future-dystopia-space station-class conflict,0.0,United States of America,English,9.0895,6.6455,2.1395,R,19.4719942058544
We're the Millers,Comedy-Crime,en,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,42.706,Vincent Newman Entertainment-New Line Cinema-Newman/Tooley Films-Slap Happy Productions (II)-BenderSpink-Heyday Films-Warner Bros. Pictures-Warner Bros. Entertainment,2013-08-07,17.4264284706085,110.0,Released,If anyone asks.,6.801,7979.0,mexico-camping-denver colorado-drug dealer-fireworks-drug smuggling-carnival-witness protection-stripper-road trip-marijuana-breaking the fourth wall-drug stealing-man child-drugs-drug lord-drug bust-first kiss-strip tease-dea-homeless girl-drug syndicate-drug gang-4th of july-drug money-pretend family-rv,0.0,United States of America,English,5.4033,2.8868,6.2258,R,19.41391073524395
Chennai Express,Romance-Comedy-Action,hi,Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India an unanticipated drive awaits them.,8.281,UTV Motion Pictures-Red Chillies Entertainment,2013-08-08,16.70588231586044,141.0,Released,Ready... Steady... Po!,6.6,266.0,temple-grandfather-romantic rivalry-ashes-journey,0.0,India,"Hindi, Tamil",5.8762,2.5854,0.8073,PG-13,17.942644943009366
Lovelace,Drama,en,Story of Linda Lovelace who is used and abused by the porn industry at the behest of her coercive husband before taking control of her life.,21.755,Millennium Films-Helios-Filmproduktion-Animus Films,2013-08-08,16.11809565095832,92.0,Released,The truth goes deeper than you think.,6.0,596.0,biography-porn star-based on true story-porn actress,0.0,United States of America,English,6.7921,6.3574,2.8133,R,14.276462090323898
In a World...,Comedy,en,An underachieving vocal coach is motivated by her father the king of movie-trailer voice-overs to pursue her aspirations of becoming a voice-over star. Amidst pride sexism and family dysfunction she sets out to change the voice of a generation.,6.134,3311 Productions-In A World-Team G-More Films,2013-08-09,13.815510557964274,93.0,Released,Speak up and let your voice be heard,6.4,448.0,parent child relationship-narration-woman director-voice acting,0.0,"United Kingdom, United States of America",English,3.0499,1.0783,1.4357,R,14.902017201423707
Planes,Animation-Family-Adventure-Comedy,en,Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends Dusty sets off to make his dreams come true.,29.112,Walt Disney Pictures-DisneyToon Studios,2013-08-09,17.72753356339242,91.0,Released,From above the world of Cars,5.9,1453.0,competition-countryside-training-crop duster-fighter jet-anthropomorphism-around the world-personification-dedication,0.0,United States of America,English,1.3054,1.8687,3.6286,PG,19.208177242837063
The Last Days on Mars,Science Fiction-Thriller-Horror,en,On the last day of the first manned mission to Mars a crew member of Tantalus Base believes he has made an astounding discovery – fossilized evidence of bacterial life. Unwilling to let the relief crew claim all the glory he disobeys orders to pack up and goes out on an unauthorized expedition to collect further samples. But a routine excavation turns to disaster when the porous ground collapses and he falls into a deep crevice. His devastated colleagues attempt to recover his body. However when another vanishes they start to suspect that the life-form they have discovered is not without danger.,13.28,Canal+-Qwerty Films-Screen Ireland-BFI-Fantastic Films,2013-08-11,16.176364559082295,98.0,Released,The search for life is about to end.,5.4,691.0,planet mars-zombie-2040s,0.0,"Belgium, Ireland, United Kingdom, United States of America",English,2.9621,1.5228,2.4074,R,10.089302998584339
Paranoia,Drama-Thriller,en,An entry-level employee at a powerful corporation finds himself occupying a corner office but at a dangerous price—he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.,20.193,Relativity Media-Gaumont-Kintop Pictures-Reliance Entertainment-IM Global-Demarest Films-EMJAG Productions-Film 360-E Stars Films,2013-08-14,17.37085861945369,106.0,Released,In a war between kings even a pawn can change the game.,5.7,759.0,spy-based on novel or book-paranoia-bodyguard-deception-escape,0.0,"India, United States of America",English,3.0596,6.9969,5.8294,PG-13,16.439092690578725
Jobs,Drama-History,en,The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.,14.646,Open Road Films-Dillywood-Five Star Institute-Silver Reel,2013-08-16,16.300417207752275,129.0,Released,"Some see what's possible, others change what's possible.",6.124,2267.0,biography-computer-based on true story-entrepreneur-maniacal genius,0.0,United States of America,English,3.6934,2.8083,2.3638,PG-13,17.55555829865261
The Butler,Drama,en,A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986 and had a unique front-row seat as political and racial history was made.,18.377,Laura Ziskin Productions-Lee Daniels Entertainment-Follow Through Productions-Salamander Pictures-Pam Williams Productions-Windy Hill Pictures,2013-08-16,17.034386382832476,132.0,Released,One quiet voice can ignite a revolution.,7.3,2666.0,usa president-butler-civil rights-john f. kennedy-biography-ronald reagan-richard nixon-african american history-jackie kennedy-jimmy carter-eisenhower,0.0,United States of America,English,4.019,2.6461,1.5437,PG-13,18.568429618740637
The Mortal Instruments: City of Bones,Fantasy-Action-Mystery,en,In New York City Clary Fray a seemingly ordinary teenager learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears Clary joins forces with a group of Shadowhunters and enters Downworld an alternate realm filled with demons vampires and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.,45.709,Screen Gems-Unique Features-Mister Smith Entertainment-Don Carmody Productions-Constantin Film,2013-08-21,17.909855120186375,130.0,Released,You have been chosen,6.4,4182.0,angel-based on novel or book-vampire-werewolf-warlock-downworlder-shadowhunter-demon hunter-based on young adult novel,0.0,"Canada, Germany, United Kingdom, United States of America",English,3.2859,3.4082,1.5367,PG-13,18.373553213341424
Blood Ties,Thriller-Crime-Drama,en,Two brothers on either side of the law face off over organized crime in Brooklyn during the 1970s.,12.966,Canal+-France 3 Cinéma-Wild Bunch-LGM Productions-Les Productions du Trésor-Mars Distribution-France Télévisions-Worldview Entertainment-Ciné+-M6-Caneo Films-Grisbi Productions-France 4-W9-Chi-Fou-Mi Productions-Treasure Company,2013-08-22,17.054189010128656,128.0,Released,Crime runs in the family.,6.1,402.0,1970s,0.0,"France, United States of America","Spanish, English, Italian",3.7364,2.5028,4.617,R,14.697405271106474
You're Next,Horror-Thriller-Mystery,en,When the Davison family comes under attack during their wedding anniversary getaway the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.,17.868,Snoot Entertainment-HanWay Films,2013-08-22,13.815510557964274,94.0,Released,Did You Remember To Lock Your Door?,6.593999999999999,2352.0,greed-missouri-family dinner-brother against brother-massacre-home invasion-dead family-crossbow-independent film-face-off-lonely road-grounded people,0.0,"United Kingdom, United States of America",English,0.8542,0.5081,0.4188,R,16.479051419080527
Short Term 12,Drama,en,Grace a compassionate young supervisor at a foster care facility helps at-risk teens. But when a new charge dredges up memories of her own troubled past Grace's tough exterior begins eroding.,12.086,Traction Media-Animal Kingdom,2013-08-23,13.815510557964274,96.0,Released,Support them. Take care of them. But don't become their friend.,7.8,1138.0,child abuse-parent child relationship-suicide attempt-social worker-pregnancy-parole-incest-foster child-troubled teen-foster care-group home-care home-based on short film,0.0,United States of America,English,5.8204,1.3719,2.4187,R,14.648419680899378
Getaway,Action-Crime,en,Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife Brent commandeers a custom Ford Shelby GT500 Super Snake taking it and its unwitting owner on a high-speed race against time at the command of the mysterious villain holding his wife hostage.,11.604,Dark Castle Entertainment-Signature Pictures-After Dark Films-Silver Reel-Saints LA-Bomar OOD-The Fyzz-Dunulf Productions-Emmitt Productions Limited-ADF Acquisitions,2013-08-29,16.70588231586044,90.0,Released,Get in. Get out. Getaway.,5.1,561.0,race against time-driver,0.0,"Bulgaria, United States of America",English,5.9647,4.3414,4.2737,PG-13,16.167070369525113
Wolf Creek 2,Horror-Thriller,en,Lured by the promise of an Australian holiday backpackers Rutger Katarina and Paul visit the notorious Wolf Creek Crater.  Their dream Outback adventure soon becomes a horrific reality when they encounter the site's most infamous local the last man any traveller to the region ever wants to meet—Mick Taylor.  As the backpackers flee Mick pursues them on an epic white knuckled rampage across hostile wasteland.,17.209,South Australian Film Corporation-Screen Australia-Emu Creek Pictures-Duo Art Productions-True Crime Australia,2013-08-30,15.89495209964411,106.0,Released,The outback can be crazy this time of year.,6.3,499.0,tourist-australia-psychopath-sequel-slaughter-decapitation-slasher-torture-series of murders-australian outback,0.0,Australia,"German, English",0.7428,0.9037,0.3672,NR,16.080439888630465
